Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6R4NKHj0PyvukMtYY33Jg6,snap (slowed + reverb),snap (slowed + reverb),slō;twilight;Tazzy,7/1/2022,205414,50,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:52:35Z,"hypertechno,hardstyle,nightcore",Afterpeak Music Group,0.562,0.434,9,-12.965,1,0.0371,0.153,0,0.151,0.243,144.412,4
spotify:track:6v8mSl4GZXok3Ebe9x4Jmr,Mood - Lofi,Mood (Lofi),Yagih Mael,11/10/2021,162664,66,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:52:37Z,,FRTYFVE,0.657,0.266,2,-16.744,1,0.203,0.8,0.0000023,0.111,0.363,160.033,4
spotify:track:6TWnmMdbbadzdycYrOvxhk,Lovely - lofi version,Lovely - lofi version,Lofiline;Mr Cat,1/27/2023,195130,35,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:52:40Z,,Atlantic Paradise,0.624,0.427,4,-12.935,0,0.0352,0.734,0.00031,0.202,0.113,114.985,4
spotify:track:2OrucC3HEPmZpkaQ05Nx0V,novocaine,"unfortunately yours,",GenriX;CORBAL;Shiloh Dynasty,1/13/2023,195605,70,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:18Z,,GenriX / CORBAL,0.608,0.311,4,-11.255,0,0.154,0.592,0,0.174,0.426,180.362,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,5/17/2019,182160,88,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:23Z,soft pop,Vertigo Berlin,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
spotify:track:3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,261466,93,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:27Z,,Darkroom/Interscope Records,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
spotify:track:7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),death bed (coffee for your head),Powfu;beabadoobee,2/8/2020,173333,83,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:34Z,bedroom pop,Columbia,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Kid Krow,Conan Gray,3/20/2020,198040,86,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:39Z,,Republic Records,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,3
spotify:track:0qSnORtqjEXLFKKKSy9WMc,Beanie - Slowed,Beanie,Chezile,11/8/2024,148344,72,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:46Z,,Chezile / 10K Projects,0.563,0.455,0,-11.421,0,0.0269,0.284,0.338,0.381,0.153,123.815,3
spotify:track:3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares,17,XXXTENTACION,8/25/2017,95466,79,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:49Z,emo rap,Bad Vibes Forever / EMPIRE,0.734,0.57,7,-7.066,0,0.133,0.847,0.0000214,0.112,0.689,129.953,4
spotify:track:3oELxRDbAzyvOodhd5FQzB,Past Lives,Past Lives,sapientdream;Slushii,7/14/2023,153103,76,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:53:54Z,future bass,RECORDS,0.711,0.343,3,-10.772,1,0.0301,0.918,0.518,0.125,0.143,116.008,4
spotify:track:6VhuP99TE6gYNQRJIlAWFD,Until I Found You,Easy On My Eyes,Stephen Sanchez,8/19/2022,176666,81,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:54:04Z,,Republic Records,0.346,0.5,10,-6.097,1,0.0388,0.757,0,0.189,0.191,202.466,3
spotify:track:5WbfFTuIldjL9x7W6y5l7R,Kingston,Atlanta Millionaires Club,Faye Webster,5/24/2019,202653,79,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:54:13Z,,Secretly Canadian,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4
spotify:track:2uIX8YMNjGMD7441kqyyNU,ocean eyes,Ocean Eyes,Billie Eilish,11/18/2016,200560,85,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:54:18Z,,Darkroom,0.475,0.37,4,-7.725,0,0.0361,0.819,0.0577,0.0841,0.157,144.828,4
spotify:track:094IjHeVUviN4aBnSXYsuj,DIA DELÍCIA,DIA DELÍCIA,Nakama;ΣP,4/25/2025,75461,83,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:55:56Z,"phonk,brazilian phonk,funk",Nakama,0.826,0.743,8,-3.721,1,0.0336,0.366,0.00000306,0.0281,0.541,130.021,4
spotify:track:2UbLtO7CH3jhez0n2T7uDC,MONTAGEM COMA,MONTAGEM COMA,ANDROMEDA;elysian.,6/6/2025,73480,82,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-04-03T09:56:00Z,"phonk,brazilian phonk",Elysian Records,0.652,0.872,11,-2.616,1,0.0356,0.000285,0.759,0.117,0.731,120.052,4
